"","longitude","latitude","eventDate"
"375",-123.570844,38.662941,2021-09-12
"376",-123.441303,38.74601,2021-09-12
"377",-122.576665,38.284442,2021-09-14
"378",-122.492774,38.258212,2021-09-14
"379",-120.119387,34.482018,2021-09-26
"380",-120.184994,34.442703,2021-09-26
"381",-120.104362,34.587938,2021-09-26
"382",-121.063321,36.574839,2021-09-25
"383",-115.965556,31.0847,2021-10-28
"384",-121.897333,36.498881,2021-10-02
"385",-122.779195,37.846612,2021-10-01
"386",-120.054224,34.491807,2021-10-06
"387",-122.717063,38.067707,2021-10-12
"388",-122.627323,38.009258,2021-10-21
"389",-121.752723,36.86392,2021-10-23
"390",-121.709442,36.937343,2021-10-23
"391",-120.096042,34.484527,2021-10-27
"392",-121.866541,36.442232,2021-11-04
"393",-122.457489,37.454828,2021-11-05
"394",-122.471316,37.461193,2021-11-05
"395",-122.503225,37.897283,2021-11-09
"396",-122.633017,38.239772,2021-11-08
"397",-122.786426,37.821721,2021-11-14
"398",-120.743854,35.271376,2021-11-15
"399",-120.758981,34.728699,2021-11-15
"400",-122.697432,38.215554,2021-11-15
"401",-118.950909,34.18857,2021-11-15
"402",-115.77005,30.995513,2021-11-08
"403",-115.778729,30.918414,2021-11-08
"404",-121.141333,36.441474,2021-11-03
"405",-121.116539,36.55496,2021-12-10
"406",-115.647987,30.916622,2021-12-07
"407",-122.670099,38.304767,2021-12-22
"408",-122.687783,38.304098,2021-12-22
"409",-121.904595,37.544587,2021-12-17
"410",-120.107,34.406734,2020-01-03
"411",-122.727587,38.22572,2020-01-24
"412",-122.642702,38.37389,2020-01-25
"413",-122.407647,37.967884,2020-01-18
"414",-122.084781,37.99708,2020-02-01
"415",-121.183812,36.521182,2020-02-02
"416",-115.697896,30.834393,2020-02-06
"417",-122.37249,37.342863,2020-02-08
"418",-121.153497,36.706802,2020-02-15
"419",-122.277681,37.326881,2020-02-08
"420",-122.569808,37.599892,2020-02-15
"421",-115.754461,30.944839,2020-02-04
"422",-122.112111,37.99194,2020-03-04
"423",-115.6436,30.865973,2020-03-05
"424",-115.711592,30.922276,2020-03-05
"425",-115.6688,30.947181,2020-03-05
"426",-115.743543,30.814954,2020-03-05
"427",-115.624985,30.818501,2020-03-05
"428",-115.693497,30.981305,2020-03-05
"429",-115.686057,30.899465,2020-03-05
"430",-115.710176,30.812098,2020-03-05
"431",-115.617266,30.997296,2020-03-05
"432",-115.629874,30.945506,2020-03-05
"433",-115.709061,30.887755,2020-03-05
